mode,rank,rank_biggest,agency,ntd_id,city,state,type_of_service,breakdown_rate,vehicle_passenger_car_miles,total_mechanical_failures,rank_2022,rank_2022_10_biggest
MB,28,, The M Transit,40044,Montgomery,AL,DO,59192.76190476191,1243048,21,68,NA
MB,29,,Sioux City Transit System,70012,Sioux City,IA,DO,56513.90909090909,621653,11,35,NA
MB,30,,Greenlink,40053,Greenville,SC,DO,56169.23529411765,954877,17,99,NA
MB,31,,Space Coast Area Transit,40063,Titusville,FL,DO,54875.51282051282,2140145,39,47,NA
MB,32,,"Golden Gate Bridge, Highway and Transportation District",90016,San Francisco,CA,DO,49680.425531914894,2334980,47,38,NA
MB,33,,Williamsburg Area Transit Authority,30076,Williamsburg,VA,DO,47054.333333333336,846978,18,23,NA
MB,34,,Kitsap Transit,00020,Bremerton,WA,DO,45901.28070175439,2616373,57,27,NA
MB,35,,Trinity Metro,60007,Fort Worth,TX,PT,45082.166666666664,270493,6,90,NA
MB,36,,LRTA,10005,Lowell,MA,PT,42519.434782608696,977947,23,52,NA
MB,37,,Connect Douglas,40082,Douglasville,GA,PT,42418.625,339349,8,56,NA
MB,38,,Intercity Transit,00019,Olympia,WA,DO,41559.66197183099,2950736,71,32,NA
MB,39,,Laredo Transit Management Inc.,60009,Laredo,TX,DO,37332.35555555556,1679956,45,42,NA
MB,40,,Jacksonville Transportation Authority,40040,Jacksonville,FL,PT,37162.5,222975,6,149,NA
MB,41,,Lebanon Transit,30095,Lebanon,PA,DO,37103.25,445239,12,8,NA
MB,42,,South Metro Area Regional Transit,00046,Wilsonville,OR,DO,36037.07142857143,504519,14,67,NA
MB,43,,Monterey-Salinas Transit,90062,Monterey,CA,DO,35599.984615384616,2313999,65,108,NA
MB,44,,Westmoreland County Transit Authority,30044,Greensburg,PA,DO,33622.23684210526,1277645,38,77,NA
MB,45,,North Carolina State University,40147,Raleigh,NC,PT,32370.833333333332,582675,18,28,NA
MB,46,,Coach USA,20166,Elizabeth,NJ,DO,32103.38888888889,577861,18,63,NA
MB,47,,City of Tallahassee,40036,Tallahassee,FL,PT,31115.5,62231,2,127,NA
MB,48,,Portage Area Regional Transportation Authority,50021,Kent,OH,DO,30208.56,755214,25,60,NA
MB,49,,AMTRAN,30011,Altoona,PA,DO,29402.736842105263,558652,19,61,NA
MB,50,,Licking County Transit,50163,Newark,OH,DO,29258.0,29258,1,,
MB,51,,LeeTran,40028,Fort Myers,FL,DO,29209.104166666668,2804074,96,53,NA
MB,52,,PGM VanGO,30088,La Plata,MD,PT,29063.85106382979,1366001,47,54,NA
MB,53,,(St. Louis) Metro,70006,Saint Louis,MO,DO,28550.05967078189,13875329,486,79,NA
MB,54,,SamTrans,90009,San Carlos,CA,PT,28105.238636363636,2473261,88,91,NA
MB,55,,Tri-Rail,40077,Pompano Beach,FL,PT,28014.0,112056,4,17,NA
MB,56,,MTA Flint,50032,Flint,MI,DO,27935.963768115944,3855163,138,119,NA
MB,57,,CATA,10053,Gloucester,MA,PT,27859.5,278595,10,43,NA
MB,58,,SamTrans,90009,San Carlos,CA,DO,27805.0,5727830,206,86,NA
MB,59,,Madison County Transit District,50146,Pontoon Beach,IL,PT,27624.4966442953,4116050,149,75,NA
MB,60,,Antelope Valley Transit Authority,90121,Lancaster,CA,PT,27241.466019417476,2805871,103,150,NA
MB,61,,GoTriangle,40108,Durham,NC,PT,27115.666666666668,244041,9,36,NA
MB,62,,Sonoma County Transit,90089,Santa Rosa,CA,PT,26830.144927536232,1851280,69,145,NA
MB,63,,Western Reserve Transit Authority,50024,Youngstown,OH,DO,26813.862068965518,1555204,58,80,NA
MB,64,,Livermore / Amador Valley Transit Authority,90144,Livermore,CA,PT,26750.4406779661,1578276,59,73,NA
MB,65,,Visalia Transit,90091,Visalia,CA,PT,26356.602941176472,1792249,68,37,NA
MB,66,,Yolo County Transportation District,90090,Woodland,CA,PT,26239.257142857143,1836748,70,93,NA
MB,67,,Napa Valley Transportation Authority,90088,Napa,CA,PT,25673.068965517243,744519,29,44,NA
MB,68,,Santa Rosa CityBus,90017,Santa Rosa,CA,PT,25572.0,25572,1,266,NA
MB,69,,Ventura County Transportation Commission,90164,Camarillo,CA,PT,24784.4,123922,5,46,NA
MB,70,,GoPasco,40074,New Port Richey,FL,DO,24417.555555555555,1538306,63,118,NA
MB,71,,County of Lackawanna Transit System,30025,Scranton,PA,PT,24400.333333333332,219603,9,71,NA
MB,72,,Saginaw Transit Authority Regional Service,50039,Saginaw,MI,DO,23616.20588235294,802951,34,164,NA
MB,73,,Greensboro Transit Agency,40093,Greensboro,NC,PT,23305.51,2330551,100,70,NA
MB,74,,Charleston Area Regional Transportation Authority,40110,North Charleston,SC,PT,23149.491071428572,2592743,112,144,NA
MB,75,,Ann Arbor Area Transportation Authority,50040,Ann Arbor,MI,DO,23050.668711656443,3757259,163,48,NA
MB,76,,Pinellas Suncoast Transit Authority,40027,Saint Petersburg,FL,DO,22122.0989010989,10065555,455,114,NA
MB,77,,Southeastern Pennsylvania Transportation Authority,30019,Philadelphia,PA,PT,22037.714285714286,154264,7,94,NA
MB,78,,Jacksonville Transportation Authority,40040,Jacksonville,FL,DO,21780.710455764074,8124205,373,96,NA
MB,79,,City of Grand Forks,80008,Grand Forks,ND,DO,21466.842105263157,407870,19,31,NA
MB,80,,City of Evansville,50043,Evansville,IN,DO,21440.25,1029132,48,98,NA
MB,81,,Green Bay Metro,50002,Green Bay,WI,DO,21205.032258064515,657356,31,78,NA
MB,82,,Collier Area Transit,40140,Naples,FL,PT,21088.614285714284,1476203,70,214,NA
MB,83,,Transit Authority of Northern Kentucky,40019,Covington,KY,DO,20799.23125,3327877,160,85,NA
MB,84,,Huntington Area Rapid Transit,20071,Huntington,NY,DO,20371.75,407435,20,359,NA
MB,85,,Bloomington Transit,50110,Bloomington,IN,DO,19928.375,956562,48,178,NA
MB,86,,County Connection,90078,Concord,CA,DO,19850.43076923077,2580556,130,189,NA
MB,87,,The Greater Cleveland Regional Transit Authority,50015,Cleveland,OH,DO,19666.189300411523,14336652,729,141,NA
MB,88,,Greater Attleboro-Taunton Regional Transit Authority,10064,Taunton,MA,PT,19545.3125,1250900,64,198,NA
MB,89,,Skagit Transit,00044,Burlington,WA,DO,19414.877551020407,951329,49,62,NA
MB,90,,Waukesha Metro Transit,50096,Waukesha,WI,DO,19217.55,768702,40,112,NA
MB,91,,New Jersey Transit Corporation,20080,Newark,NJ,PT,19173.414948453606,7439285,388,202,NA
MB,92,,Link Transit,00043,Wenatchee,WA,DO,19145.495495495496,2125150,111,92,NA
MB,93,,Dutchess County Public Transit,20010,Poughkeepsie,NY,DO,19008.090909090908,1254534,66,97,NA
MB,94,,Rock Region METRO,60033,North Little Rock,AR,DO,17612.371428571427,1849299,105,168,NA
MB,95,,Lower Rio Grande Valley Development Council,60090,Weslaco,TX,DO,17347.51818181818,1908227,110,9,NA
MB,96,,Topeka Metro,70014,Topeka,KS,DO,17335.744680851065,814780,47,155,NA
MB,97,,Broward County Transit Division,40029,Fort Lauderdale,FL,PT,17316.166666666668,311691,18,111,NA
MB,98,,Santa Fe Trails,60077,Santa Fe,NM,DO,17293.275862068964,501505,29,87,NA
MB,99,,Suffolk County Transit,20072,Yaphank,NY,PT,17224.715811965812,8061167,468,215,NA
MB,100,,King County Metro,00001,Seattle,WA,PT,16970.791666666668,1221897,72,217,NA
MB,101,,CobbLinc,40078,Marietta,GA,PT,16883.590909090908,3342951,198,51,NA
MB,102,,Santa Cruz Metropolitan Transit District,90006,Santa Cruz,CA,DO,16835.302816901407,2390613,142,139,NA
MB,103,,Scottsdale Trolley,90131,Scottsdale,AZ,PT,16702.5,601290,36,226,NA
MB,104,,Citilink,50044,Fort Wayne,IN,DO,16607.402298850575,1444844,87,179,NA
MB,105,,Billings Metropolitan Transit System,80004,Billings,MT,DO,16533.20512820513,644795,39,301,NA
MB,106,,Mountain Line,80009,Missoula,MT,DO,16336.706896551725,947529,58,289,NA
MB,107,,IndyGo,50050,Indianapolis,IN,PT,16309.875,130479,8,143,NA
MB,108,,Valley Metro,90032,Phoenix,AZ,PT,16072.870431893687,24189670,1505,159,NA
MB,109,,HARTransit,10051,Danbury,CT,DO,15988.969696969696,1055272,66,49,NA
MB,110,,Salem-Keizer Transit or Cherriots,00025,Salem,OR,DO,15959.30625,2553489,160,140,NA
MB,111,,Regional Transit System,40030,Gainesville,FL,DO,15943.375634517766,3140845,197,177,NA
MB,112,,Regional Transportation Commission of Southern Nevada,90045,Las Vegas,NV,PT,15816.245476003147,20102448,1271,136,NA
MB,113,,RTD-Denver,80006,Denver,CO,PT,15631.469489414694,12552070,803,160,NA
MB,114,,THE WAVE TRANSIT SYSTEM,40043,Mobile,AL,DO,15495.534246575342,1131174,73,162,NA
MB,115,,"Waco Transit System, Inc.",60012,Waco,TX,DO,15479.941176470587,789477,51,107,NA
MB,116,,County of Rockland,20084,New City,NY,PT,15296.322147651006,2279152,149,170,NA
MB,117,,Chapel Hill Transit,40051,Chapel Hill,NC,DO,15013.983739837398,1846720,123,125,NA
MB,118,,EMBARK,60017,Oklahoma City,OK,DO,14959.322869955156,3335929,223,132,NA
MB,119,,North County Transit District,90030,Oceanside,CA,PT,14809.907407407407,5598145,378,206,NA
MB,120,,Whatcom Transportation Authority,00021,Bellingham,WA,DO,14750.844155844155,2271630,154,157,NA
MB,121,,Merced The Bus,90173,Merced,CA,PT,14739.796610169491,1739296,118,213,NA
MB,122,,Rogue Valley Transportation District,00034,Medford,OR,DO,14572.89010989011,1326133,91,163,NA
MB,123,,Loudoun County Transit,30081,Leesburg,VA,PT,14502.471074380166,1754799,121,122,NA
MB,124,,Regional Transportation Commission of Washoe County,90001,Reno,NV,PT,14487.897435897436,2825140,195,151,NA
MB,125,,Milford Transit District,10107,Milford,CT,DO,14452.25,289045,20,102,NA
MB,126,,Chatham Area Transit Authority,40025,Savannah,GA,DO,14029.050420168067,1669457,119,26,NA
MB,127,,Victoria Transit,60095,Victoria,TX,DO,13960.208333333334,335045,24,113,NA
MB,128,,GoRaleigh,40007,Raleigh,NC,PT,13870.577464788732,3939244,284,184,NA
MB,129,,"Western Maine Transportation Services, Inc.",10098,Auburn,ME,DO,13586.785714285714,190215,14,169,NA
MB,130,,Cape Cod Regional Transit Authority,10105,Hyannis,MA,PT,13412.57142857143,1689984,126,142,NA
MB,131,,Pioneer Valley Transit Authority,10008,Springfield,MA,PT,13215.005376344086,4915982,372,382,NA
MB,132,,MATBUS,50026,Moorhead,MN,PT,12929.485714285714,452532,35,175,NA
MB,133,,Pace Suburban Bus,50113,Arlington Heights,IL,DO,12853.013953488373,24870582,1935,176,NA
MB,134,,Metropolitan Area Transit,80003,Fargo,ND,PT,12658.11475409836,772145,61,196,NA
MB,135,,RTD-Denver,80006,Denver,CO,DO,12655.820258948972,16617092,1313,180,NA
MB,136,,Sacramento RT,90019,Sacramento,CA,DO,12635.102749638205,8730856,691,208,NA
MB,137,,Pace Suburban Bus,50113,Arlington Heights,IL,PT,12438.411764705883,1057265,85,135,NA
MB,138,,Montachusett Regional Transit Authority,10061,Fitchburg,MA,PT,12401.901408450703,880535,71,72,NA
MB,139,,Huntsville Transit,40071,Huntsville,AL,DO,12097.333333333334,798424,66,271,NA
MB,140,,Toledo Area Regional Transit Authority,50022,Toledo,OH,DO,12020.990291262136,2476324,206,,
MB,141,,EC RIDER,40128,Crestview,FL,PT,11763.828571428572,411734,35,167,NA
MB,142,,Santa Barbara Metropolitan Transit District,90020,Santa Barbara,CA,DO,11637.18,2327436,200,185,NA
MB,143,,GoTriangle,40108,Durham,NC,DO,11503.602040816326,2254706,196,182,NA
MB,144,,Terre Haute Transit Utility,50053,Terre Haute,IN,DO,11356.4,397474,35,201,NA
MB,145,,Johnson County Transit,70035,Olathe,KS,PT,11238.63829787234,1584648,141,193,NA
MB,146,,Lehigh and Northampton Transportation Authority,30010,Allentown,PA,PT,11125.25,44501,4,,
MB,147,,Tompkins Consolidated Area Transit,20145,Ithaca,NY,DO,11091.775862068966,1286646,116,161,NA
MB,148,,Capital Area Transportation Authority,50036,Lansing,MI,DO,11083.801801801801,3690906,333,234,NA
MB,149,,Ben Franklin Transit,00018,Richland,WA,DO,11004.692537313433,3686572,335,,
MB,150,,Riverside Transit Agency,90031,Riverside,CA,PT,10913.340823970037,2913862,267,248,NA
MB,151,,OMNI,90029,San Bernardino,CA,PT,10840.341463414634,444454,41,230,NA
MB,152,,San Francisco Municipal Transportation Agency,90015,San Francisco,CA,DO,10807.239575435937,14254749,1319,191,NA
MB,153,,Trinity Metro,60007,Fort Worth,TX,DO,10804.566433566433,6180212,572,194,NA
MB,154,,Santa Rosa CityBus,90017,Santa Rosa,CA,DO,10796.547945205479,788148,73,186,NA
MB,155,,River Valley Transit Authority,30026,Williamsport,PA,DO,10703.471264367816,931202,87,225,NA
MB,156,,Bay Metro,50029,Bay City,MI,DO,10579.420289855072,729980,69,103,NA
MB,157,1,New Jersey Transit Corporation,20080,Newark,NJ,DO,10546.766038557891,96829859,9181,237,1
MB,158,,Cedar Rapids Transit,70008,Cedar Rapids,IA,DO,10535.483870967742,979800,93,218,NA
MB,159,,TransIt Services of Frederick,30072,Frederick,MD,DO,10524.95890410959,768322,73,221,NA
MB,160,,WestCAT,90159,Pinole,CA,PT,10423.75,917290,88,117,NA
MB,161,,METRO Regional Transit Authority,50010,Akron,OH,DO,10325.19761904762,4336583,420,284,NA
MB,162,,RiverCities Transit,00016,Longview,WA,DO,10226.805555555555,368165,36,116,NA
MB,163,,Valley Regional Transit,00011,Meridian,ID,PT,10107.177631578947,1536291,152,137,NA
MB,164,2,MTA New York City Transit,20008,Brooklyn,NY,DO,9992.451643192488,95777649,9585,240,2
MB,165,,Knoxville Area Transit,40002,Knoxville,TN,DO,9990.771739130434,2757453,276,195,NA
MB,166,,Valley Metro,30007,Roanoke,VA,DO,9875.034682080925,1708381,173,123,NA
MB,167,,Decatur Public Transit System,50061,Decatur,IL,PT,9844.607843137255,1004150,102,121,NA
MB,168,,Ride Gwinnett,40138,Lawrenceville,GA,PT,9816.691176470587,2002605,204,216,NA
MB,169,,WeGo Public Transit,40004,Madison,TN,DO,9788.496561210453,7116237,727,273,NA
MB,170,3,Dallas Area Rapid Transit,60056,Dallas,TX,DO,9720.219639139486,28013673,2882,277,NA
MB,171,,Lextran,40017,Lexington,KY,DO,9665.648514851486,1952461,202,235,NA
MB,172,,The B,60051,Corpus Christi,TX,PT,9660.853658536585,792190,82,190,NA
MB,173,,SunLine,90079,Thousand Palms,CA,DO,9563.606145251397,3423771,358,308,NA
MB,174,,Lane Transit District,00007,Eugene,OR,PT,9426.916666666666,113123,12,147,NA
MB,175,,Orange County Transportation Authority,90036,Orange,CA,PT,9350.94387755102,7331140,784,236,NA
MB,176,,Beaumont Municipal Transit System,60016,Beaumont,TX,PT,9203.638888888889,662662,72,115,NA
MB,177,,AC Transit,90014,Oakland,CA,DO,9203.247830802604,16970789,1844,259,NA
MB,178,,Valley Transit,50001,Appleton,WI,DO,9171.329787234043,862105,94,241,NA
MB,179,,Central Florida Regional Transportation Authority,40035,Orlando,FL,DO,9107.594535519125,16666898,1830,249,NA
MB,180,,Eau Claire Transit,50099,Eau Claire,WI,DO,9035.575,722846,80,247,NA
MB,181,,"Tulsa Transit, MetroLink Tulsa",60018,Tulsa,OK,PT,9017.228571428572,315603,35,183,NA
MB,182,,Unitrans,90142,Davis,CA,DO,8972.456790123457,726769,81,231,NA
MB,183,,Metro,90154,Los Angeles,CA,PT,8869.804347826086,6528176,736,220,NA
MB,184,,Foothill Transit,90146,West Covina,CA,PT,8768.84090909091,15047331,1716,261,NA
MB,185,,C-TRAN,00024,Vancouver,WA,DO,8704.480079681274,4369649,502,275,NA
MB,186,,Victor Valley Transit Authority,90148,Hesperia,CA,PT,8701.395408163266,3410947,392,232,NA
